ShipId,ShipName,Latitude,Longnitude,Cog,Sog,RateOfTurn,TrueHeading,Timestamp
235108878,WINDCAT 37          ,57.2156766666667,-1.98579166666667,287.8,0.2,127,311,2023-01-24 11:39:11.263817629 +0000 UTC
235108878,WINDCAT 37          ,57.2156566666667,-1.98584833333333,147.3,0.3,127,330,2023-01-24 11:40:19.401562543 +0000 UTC
235108878,WINDCAT 37          ,57.2156066666667,-1.985745,88.9,0.1,-127,352,2023-01-24 11:41:19.318377834 +0000 UTC
235108878,WINDCAT 37          ,57.2156666666667,-1.98560666666667,4.4,0.4,-127,309,2023-01-24 11:42:19.321791764 +0000 UTC
235108878,WINDCAT 37          ,57.21569,-1.98548166666667,339.1,0.2,-127,292,2023-01-24 11:43:19.324828377 +0000 UTC
235108878,WINDCAT 37          ,57.215715,-1.98549,303.5,0.6,-127,275,2023-01-24 11:44:19.451810335 +0000 UTC
235108878,WINDCAT 37          ,57.215745,-1.98530833333333,289.2,0.1,-127,274,2023-01-24 11:45:19.280666289 +0000 UTC
235108878,WINDCAT 37          ,57.2157116666667,-1.98538833333333,192.1,0.1,127,287,2023-01-24 11:46:19.279190638 +0000 UTC
235108878,WINDCAT 37          ,57.215675,-1.985435,284.5,0.2,0,321,2023-01-24 11:47:19.270490203 +0000 UTC
235108878,WINDCAT 37          ,57.2156516666667,-1.98554166666667,260.7,0.2,0,314,2023-01-24 11:48:19.274831087 +0000 UTC
235108878,WINDCAT 37          ,57.21563,-1.98565,259.9,0.1,127,324,2023-01-24 11:49:19.294389263 +0000 UTC
235108878,WINDCAT 37          ,57.2156216666667,-1.98569833333333,273.8,0,0,333,2023-01-24 11:50:19.29029413 +0000 UTC
235108878,WINDCAT 37          ,57.2156183333333,-1.98573666666667,283.6,0,0,337,2023-01-24 11:51:19.309775471 +0000 UTC
235108878,WINDCAT 37          ,57.215615,-1.985765,47,0,127,350,2023-01-24 11:52:19.271668946 +0000 UTC
235108878,WINDCAT 37          ,57.2156166666667,-1.98574833333333,66.3,0,0,357,2023-01-24 11:53:19.317598499 +0000 UTC
235108878,WINDCAT 37          ,57.2156183333333,-1.985755,25,0,0,2,2023-01-24 11:54:19.548590013 +0000 UTC
235108878,WINDCAT 37          ,57.2156216666667,-1.98575833333333,32.5,0,127,8,2023-01-24 11:55:19.329030197 +0000 UTC
235108878,WINDCAT 37          ,57.2156216666667,-1.98574166666667,38.4,0,0,11,2023-01-24 11:56:19.815734599 +0000 UTC
235108878,WINDCAT 37          ,57.21563,-1.98572333333333,42.4,0,0,15,2023-01-24 11:57:19.336868727 +0000 UTC
235108878,WINDCAT 37          ,57.2156366666667,-1.98568666666667,68.4,0.1,0,17,2023-01-24 11:58:19.35850231 +0000 UTC
235108878,WINDCAT 37          ,57.2156433333333,-1.98564833333333,70.3,0.1,0,17,2023-01-24 11:59:19.353070926 +0000 UTC
235108878,WINDCAT 37          ,57.21565,-1.98562833333333,61.1,0,0,18,2023-01-24 12:00:19.330377531 +0000 UTC
235108878,WINDCAT 37          ,57.2156616666667,-1.98560333333333,23.5,0,0,16,2023-01-24 12:01:19.344071217 +0000 UTC
235108878,WINDCAT 37          ,57.2156733333333,-1.985555,63.9,0.1,0,16,2023-01-24 12:02:29.209299818 +0000 UTC
235108878,WINDCAT 37          ,57.2156683333333,-1.98553833333333,353.4,0,0,11,2023-01-24 12:03:29.304635109 +0000 UTC
235108878,WINDCAT 37          ,57.2156583333333,-1.98555166666667,270,0,0,8,2023-01-24 12:04:30.295881174 +0000 UTC
235108878,WINDCAT 37          ,57.2156616666667,-1.98554333333333,64.8,0,0,7,2023-01-24 12:05:41.271877054 +0000 UTC
235108878,WINDCAT 37          ,57.2156566666667,-1.98553333333333,303.3,0,0,4,2023-01-24 12:06:48.038599599 +0000 UTC
235108878,WINDCAT 37          ,57.2156466666667,-1.985565,284.5,0,0,3,2023-01-24 12:07:47.967740437 +0000 UTC
235108878,WINDCAT 37          ,57.2156433333333,-1.98559333333333,277.5,0,0,5,2023-01-24 12:08:48.027298875 +0000 UTC
235108878,WINDCAT 37          ,57.2156383333333,-1.98561333333333,322.5,0,0,6,2023-01-24 12:09:48.040741647 +0000 UTC
235108878,WINDCAT 37          ,57.2156366666667,-1.98564,284.6,0,0,9,2023-01-24 12:10:48.279997879 +0000 UTC
235108878,WINDCAT 37          ,57.2156333333333,-1.98565833333333,296.4,0,0,10,2023-01-24 12:11:48.292609996 +0000 UTC
235108878,WINDCAT 37          ,57.215625,-1.98568333333333,298.9,0,0,10,2023-01-24 12:12:48.256385898 +0000 UTC
235108878,WINDCAT 37          ,57.2156233333333,-1.985705,316.5,0,0,13,2023-01-24 12:13:48.288958091 +0000 UTC
235108878,WINDCAT 37          ,57.2156266666667,-1.98572333333333,28,0,0,16,2023-01-24 12:14:48.334197892 +0000 UTC
235108878,WINDCAT 37          ,57.2156233333333,-1.98573,312.7,0,0,14,2023-01-24 12:15:29.40643333 +0000 UTC
235108878,WINDCAT 37          ,57.2156266666667,-1.98573,73.7,0,0,17,2023-01-24 12:17:41.78552572 +0000 UTC
235108878,WINDCAT 37          ,57.21563,-1.98573,3.7,0,0,16,2023-01-24 12:18:50.168534328 +0000 UTC
235108878,WINDCAT 37          ,57.2156333333333,-1.985745,346.1,0,0,18,2023-01-24 12:19:59.729222657 +0000 UTC
235108878,WINDCAT 37          ,57.215625,-1.985745,98.3,0,0,19,2023-01-24 12:20:59.688292137 +0000 UTC
235108878,WINDCAT 37          ,57.2156283333333,-1.98574,320.4,0,0,19,2023-01-24 12:21:59.669281769 +0000 UTC
235108878,WINDCAT 37          ,57.215625,-1.98573333333333,40.3,0,0,19,2023-01-24 12:22:42.901399921 +0000 UTC
235108878,WINDCAT 37          ,57.2156183333333,-1.98571833333333,41.5,0,0,21,2023-01-24 12:23:50.482886164 +0000 UTC
235108878,WINDCAT 37          ,57.21563,-1.98571,81.6,0,0,19,2023-01-24 12:24:50.545073903 +0000 UTC
235108878,WINDCAT 37          ,57.215625,-1.98571166666667,69.8,0,0,19,2023-01-24 12:25:51.74832682 +0000 UTC
235108878,WINDCAT 37          ,57.2156,-1.98570166666667,156.6,0,0,20,2023-01-24 12:26:59.828101397 +0000 UTC
235108878,WINDCAT 37          ,57.2156016666667,-1.98571666666667,305.1,0,0,19,2023-01-24 12:28:00.426918938 +0000 UTC
235108878,WINDCAT 37          ,57.2155983333333,-1.985715,292.2,0,0,19,2023-01-24 12:28:30.814263522 +0000 UTC
235108878,WINDCAT 37          ,57.2155983333333,-1.98571,13.1,0,0,20,2023-01-24 12:29:40.088386407 +0000 UTC
235108878,WINDCAT 37          ,57.2156216666667,-1.98574833333333,331.1,0,0,22,2023-01-24 12:30:40.170346348 +0000 UTC
235108878,WINDCAT 37          ,57.215615,-1.985755,350.3,0,0,22,2023-01-24 12:31:40.889212541 +0000 UTC
235108878,WINDCAT 37          ,57.2156133333333,-1.98575166666667,346,0.1,0,23,2023-01-24 12:32:49.547989076 +0000 UTC
235108878,WINDCAT 37          ,57.2156083333333,-1.985745,351.3,0.1,0,23,2023-01-24 12:33:50.326962764 +0000 UTC
235108878,WINDCAT 37          ,57.2156083333333,-1.985745,357.6,0.1,0,23,2023-01-24 12:34:29.104176121 +0000 UTC
235108878,WINDCAT 37          ,57.215625,-1.98576166666667,10.4,0,0,25,2023-01-24 12:35:40.000743025 +0000 UTC
235108878,WINDCAT 37          ,57.2156183333333,-1.98573666666667,11.4,0.1,0,25,2023-01-24 12:36:40.126722236 +0000 UTC
235108878,WINDCAT 37          ,57.2156216666667,-1.985715,12.5,0.1,0,22,2023-01-24 12:37:50.289842032 +0000 UTC
235108878,WINDCAT 37          ,57.215605,-1.98570333333333,350.6,0.1,0,19,2023-01-24 12:38:59.121749878 +0000 UTC
235108878,WINDCAT 37          ,57.2156,-1.98572166666667,346,0.1,0,21,2023-01-24 12:40:08.249644203 +0000 UTC
235108878,WINDCAT 37          ,57.2156,-1.98571833333333,4.3,0,0,23,2023-01-24 12:41:08.971200104 +0000 UTC
235108878,WINDCAT 37          ,57.215605,-1.98573333333333,337.8,0.1,0,24,2023-01-24 12:42:08.298559533 +0000 UTC
235108878,WINDCAT 37          ,57.2156083333333,-1.98574,343,0.1,0,23,2023-01-24 12:43:08.340416014 +0000 UTC
235108878,WINDCAT 37          ,57.215605,-1.98573,349,0,0,23,2023-01-24 12:44:08.35271635 +0000 UTC
235108878,WINDCAT 37          ,57.2156,-1.985735,357.4,0,0,23,2023-01-24 12:45:08.320106642 +0000 UTC
235108878,WINDCAT 37          ,57.2155983333333,-1.98573333333333,336,0,0,23,2023-01-24 12:45:29.226443821 +0000 UTC
235108878,WINDCAT 37          ,57.2155883333333,-1.98573333333333,310.8,0,0,21,2023-01-24 12:46:31.448060753 +0000 UTC
235108878,WINDCAT 37          ,57.215595,-1.98574333333333,328.9,0.1,0,22,2023-01-24 12:47:37.157026353 +0000 UTC
235108878,WINDCAT 37          ,57.215585,-1.98573666666667,25.7,0,0,21,2023-01-24 12:48:49.239540325 +0000 UTC
235108878,WINDCAT 37          ,57.21559,-1.98576333333333,322.9,0,0,20,2023-01-24 12:49:49.697375727 +0000 UTC
235108878,WINDCAT 37          ,57.2155933333333,-1.98578833333333,324.6,0,0,22,2023-01-24 12:50:51.255667381 +0000 UTC
235108878,WINDCAT 37          ,57.2155933333333,-1.98579833333333,349,0,0,23,2023-01-24 12:51:59.427257685 +0000 UTC
235108878,WINDCAT 37          ,57.2155966666667,-1.985805,322.1,0.1,0,22,2023-01-24 12:53:01.775667992 +0000 UTC
235108878,WINDCAT 37          ,57.2155983333333,-1.98580166666667,2.5,0,0,23,2023-01-24 12:54:09.716361046 +0000 UTC
235108878,WINDCAT 37          ,57.2156,-1.98581666666667,317.5,0.1,0,25,2023-01-24 12:55:09.672690948 +0000 UTC
235108878,WINDCAT 37          ,57.2156,-1.98581333333333,61.5,0,0,25,2023-01-24 12:56:09.724326892 +0000 UTC
235108878,WINDCAT 37          ,57.2156083333333,-1.98581666666667,340.4,0,0,23,2023-01-24 12:57:11.013988607 +0000 UTC
235108878,WINDCAT 37          ,57.215615,-1.98583,25.1,0,0,23,2023-01-24 12:58:18.711106833 +0000 UTC
235108878,WINDCAT 37          ,57.215615,-1.985835,322.5,0,0,23,2023-01-24 12:59:18.780651907 +0000 UTC
235108878,WINDCAT 37          ,57.2156133333333,-1.985835,358.4,0,0,26,2023-01-24 13:00:19.21841121 +0000 UTC
